index,path_align,goal_align,nav_status,nav_time
184,2.0,2.0,SUCCEEDED,33.913
185,2.0,2.0,SUCCEEDED,34.127
186,2.0,2.0,SUCCEEDED,33.433
187,2.0,2.0,SUCCEEDED,34.142
188,2.0,2.0,SUCCEEDED,33.546
189,2.0,2.0,SUCCEEDED,33.795
190,2.0,3.0,SUCCEEDED,33.212
191,2.0,3.0,SUCCEEDED,33.766
192,2.0,3.0,SUCCEEDED,33.474
193,2.0,3.0,SUCCEEDED,33.76
194,2.0,3.0,SUCCEEDED,33.345
195,2.0,3.0,SUCCEEDED,33.352
196,2.0,3.0,SUCCEEDED,33.304
197,2.0,3.0,SUCCEEDED,32.852
198,2.0,3.0,SUCCEEDED,33.697
199,2.0,3.0,SUCCEEDED,33.361
200,3.0,0.1,SUCCEEDED,33.081
201,3.0,0.1,SUCCEEDED,33.194
202,3.0,0.1,SUCCEEDED,33.152
203,3.0,0.1,SUCCEEDED,33.017
204,3.0,0.1,SUCCEEDED,33.166
205,3.0,0.1,SUCCEEDED,33.189
206,3.0,0.1,SUCCEEDED,33.14
207,3.0,0.1,SUCCEEDED,33.312
208,3.0,0.1,SUCCEEDED,33.053
209,3.0,0.1,SUCCEEDED,32.994
210,3.0,0.5,SUCCEEDED,33.385
211,3.0,0.5,SUCCEEDED,33.138
212,3.0,0.5,SUCCEEDED,33.184
213,3.0,0.5,SUCCEEDED,33.438
214,3.0,0.5,SUCCEEDED,33.296
215,3.0,0.5,SUCCEEDED,33.564
216,3.0,0.5,SUCCEEDED,33.404
217,3.0,0.5,SUCCEEDED,33.766
218,3.0,0.5,SUCCEEDED,33.226
219,3.0,0.5,SUCCEEDED,33.415
220,3.0,1.0,SUCCEEDED,33.359
221,3.0,1.0,SUCCEEDED,33.366
222,3.0,1.0,SUCCEEDED,33.63
223,3.0,1.0,SUCCEEDED,33.286
224,3.0,1.0,SUCCEEDED,33.359
225,3.0,1.0,SUCCEEDED,33.402
226,3.0,1.0,SUCCEEDED,33.652
227,3.0,1.0,SUCCEEDED,33.354
228,3.0,1.0,SUCCEEDED,33.62
229,3.0,1.0,SUCCEEDED,33.447
230,3.0,2.0,SUCCEEDED,33.458
231,3.0,2.0,SUCCEEDED,33.61
232,3.0,2.0,SUCCEEDED,34.06
233,3.0,2.0,SUCCEEDED,33.782
234,3.0,2.0,SUCCEEDED,34.062
235,3.0,2.0,SUCCEEDED,33.549
236,3.0,2.0,SUCCEEDED,34.044
237,3.0,2.0,SUCCEEDED,34.357
238,3.0,2.0,SUCCEEDED,34.15
239,3.0,2.0,SUCCEEDED,34.151
240,3.0,3.0,SUCCEEDED,33.698
241,3.0,3.0,SUCCEEDED,33.697
242,3.0,3.0,SUCCEEDED,33.5
243,3.0,3.0,SUCCEEDED,34.137
244,3.0,3.0,SUCCEEDED,33.681
245,3.0,3.0,SUCCEEDED,33.711
246,3.0,3.0,SUCCEEDED,33.864
247,3.0,3.0,SUCCEEDED,33.563
248,3.0,3.0,SUCCEEDED,33.586
249,3.0,3.0,SUCCEEDED,34.023
0,0.1,0.1,SUCCEEDED,34.08
1,0.1,0.1,SUCCEEDED,33.757
0,0.1,0.1,SUCCEEDED,34.511
